[1, 2, 3, 4, 5, 7, 11, 8]
[1, 2, 3, 4, 5, 11, 7, 8]
[1, 2, 3, 4, 11, 5, 7, 8]
[1, 2, 3, 4, 5, 6, 7, 11, 8]
[1, 2, 3, 4, 5, 6, 11, 7, 8]
[1, 2, 3, 4, 5, 7, 6, 11, 8]
[1, 2, 3, 4, 5, 7, 11, 6, 8]
[1, 2, 3, 4, 5, 7, 11, 8, 6]
[1, 2, 3, 4, 5, 11, 6, 7, 8]
[1, 2, 3, 4, 5, 11, 7, 6, 8]
[1, 2, 3, 4, 5, 11, 7, 8, 6]
[1, 2, 3, 4, 11, 5, 6, 7, 8]
[1, 2, 3, 4, 11, 5, 7, 6, 8]
[1, 2, 3, 4, 11, 5, 7, 8, 6]
[1, 2, 3, 4, 5, 7, 11, 8, 9, 10]
[1, 2, 3, 4, 5, 11, 7, 8, 9, 10]
[1, 2, 3, 4, 11, 5, 7, 8, 9, 10]
[1, 2, 3, 4, 5, 6, 7, 11, 8, 9, 10]
[1, 2, 3, 4, 5, 6, 11, 7, 8, 9, 10]
[1, 2, 3, 4, 5, 7, 6, 11, 8, 9, 10]
[1, 2, 3, 4, 5, 7, 11, 6, 8, 9, 10]
[1, 2, 3, 4, 5, 7, 11, 8, 6, 9, 10]
[1, 2, 3, 4, 5, 7, 11, 8, 9, 6, 10]
[1, 2, 3, 4, 5, 7, 11, 8, 9, 10, 6]
[1, 2, 3, 4, 5, 11, 6, 7, 8, 9, 10]
[1, 2, 3, 4, 5, 11, 7, 6, 8, 9, 10]
[1, 2, 3, 4, 5, 11, 7, 8, 6, 9, 10]
[1, 2, 3, 4, 5, 11, 7, 8, 9, 6, 10]
[1, 2, 3, 4, 5, 11, 7, 8, 9, 10, 6]
[1, 2, 3, 4, 11, 5, 6, 7, 8, 9, 10]
[1, 2, 3, 4, 11, 5, 7, 6, 8, 9, 10]
[1, 2, 3, 4, 11, 5, 7, 8, 6, 9, 10]
[1, 2, 3, 4, 11, 5, 7, 8, 9, 6, 10]
[1, 2, 3, 4, 11, 5, 7, 8, 9, 10, 6]
